Model,Tier,Accuracy_mean,Accuracy_std,Macro_F1,ROC_AUC,Train_Time_sec,n_seeds
LR+PCA(200),1,0.4422222222222222,0.0,0.424093756811734,0.8605822754346182,6.792572021484375,1
SVM-RBF + PCA(500) [unscaled],1,0.6871604938271605,0.0,0.6826222597456094,0.9251861029982364,138.92924165725708,1
LR + HOG,2,0.7795061728395062,0.0,0.7747553293720771,0.972743421718317,238.1559731960297,1
SVM-RBF + HOG,2,0.8308641975308642,0.0,0.827132802430285,0.9700780356764926,268.1878123283386,1
ShallowCNN (no reg),3,0.9549794238683128,0.00343516654398507,0.9539884314839133,0.9979475598219535,101.44085423151652,3
ShallowCNN (+ BN),3,0.965679012345679,0.0013220064530213387,0.9648324749250924,0.9987377964642649,123.9922198454539,3
ShallowCNN (+ BN+Drop+L2+Aug+ES),3,0.9348148148148149,0.008116912319959917,0.9334630518195306,0.9974405408751155,292.7112794717153,3
ResNet-18 (fine-tuned),4,0.9816460905349794,0.0015659504189663158,0.9811536589322051,0.9996683419333166,276.1121126015981,3
