Model,AnnualCrop,Forest,HerbaceousVegetation,Highway,Industrial,Pasture,PermanentCrop,Residential,River,SeaLake
LR+PCA(200),0.4777777777777778,0.7466666666666667,0.43333333333333335,0.192,0.7226666666666667,0.2866666666666667,0.17866666666666667,0.4577777777777778,0.3973333333333333,0.4311111111111111
SVM-RBF+PCA(500),0.5977777777777777,0.9177777777777778,0.6244444444444445,0.43733333333333335,0.8426666666666667,0.8166666666666667,0.496,0.7155555555555555,0.6053333333333333,0.8
LR+HOG,0.76,0.9688888888888889,0.6266666666666667,0.656,0.8533333333333334,0.76,0.5733333333333334,0.8644444444444445,0.7146666666666667,0.9622222222222222
SVM-RBF+HOG,0.82,0.9644444444444444,0.7288888888888889,0.7706666666666667,0.8586666666666667,0.8033333333333333,0.6853333333333333,0.8888888888888888,0.7786666666666666,0.9622222222222222
ShallowCNN (no reg),0.9466666666666667,0.9888888888888889,0.9244444444444444,0.944,0.9866666666666667,0.96,0.9226666666666666,0.9755555555555555,0.9226666666666666,0.9755555555555555
ShallowCNN (+BN),0.9488888888888889,0.9866666666666667,0.9533333333333334,0.968,0.9866666666666667,0.9733333333333334,0.9413333333333334,0.9711111111111111,0.9466666666666667,0.9933333333333333
ShallowCNN (+BN+Drop+L2+Aug+ES),0.8911111111111111,0.9933333333333333,0.9333333333333333,0.896,0.912,0.9066666666666666,0.8293333333333334,0.9977777777777778,0.8533333333333334,0.9866666666666667
ResNet-18,0.9577777777777777,0.9933333333333333,0.9733333333333334,0.992,0.984,0.9866666666666667,0.9493333333333334,0.9977777777777778,0.9893333333333333,0.9977777777777778
