config,test_acc_mean,test_acc_std,macro_f1_mean,overfitting_gap_mean,epochs_run_mean,train_time_mean
1_Baseline,0.9549794238683127,0.004207202607121673,0.9539884314839133,0.034826033210545004,100.0,101.44085423151652
2a_L2_1e-4,0.9612345679012346,0.0016191206232844086,0.9602070938811028,0.03104015562911096,100.0,101.53143080075581
2b_L2_1e-3,0.954156378600823,0.005233946698134877,0.952701858305001,0.011344441548391204,100.0,101.86328800519307
3a_Dropout_0.3,0.9526748971193415,0.002240437463179618,0.9514559928823223,-0.011037773462005185,100.0,111.75933702786763
3b_Dropout_0.5,0.8669135802469136,0.01349919697070285,0.8648671504074357,-0.015281218746305095,100.0,112.35794838269551
4_BatchNorm,0.965679012345679,0.0016191206232844299,0.9648324749250924,0.028147821525601652,100.0,123.9922198454539
5_DataAug,0.9641152263374485,0.0031459283709656346,0.9636235004281559,0.023062225732325897,100.0,335.91262435913086
6_EarlyStop,0.9549794238683127,0.004207202607121673,0.9539884314839133,0.032056927261376655,41.0,41.11725831031799
7_AllCombined,0.9348148148148149,0.009941146735406069,0.9334630518195307,-0.05565013238011814,79.0,292.7112794717153
