Model,Accuracy,Macro_F1,ROC_AUC,CV_Acc,Train_Time_sec
SVM_RBF_unscaled+PCA(500),0.6871604938271605,0.6826222597456094,0.9251861029982364,0.6807407407407409,138.92924165725708
SVM_RBF+PCA(500),0.648641975308642,0.6441264357642863,0.9043263775762156,0.6264488017429194,221.21075582504272
LR+PCA(200),0.44222222222222224,0.42409375681173406,0.8605822754346182,0.4337254901960785,6.792572021484375
LR+PCA(500),0.44074074074074077,0.4273143403941234,0.8551180949357521,0.42810457516339867,11.25160551071167
LR+PCA(50),0.44049382716049384,0.4119000428309093,0.8619268933232552,0.4325490196078431,4.671320915222168
LR+PCA(100),0.4390123456790124,0.4150746882364619,0.861441711463845,0.4323311546840959,4.569075107574463
SVM_Linear+PCA(200),0.3987654320987654,0.35691621738431956,,0.3940740740740741,22.452439785003662
