Model,Accuracy,Macro_F1,ROC_AUC,CV_Acc,Train_Time_sec
SVM_RBF+HOG,0.8308641975308642,0.827132802430285,0.9700780356764926,0.8296296296296296,268.1878123283386
LR+HOG,0.7795061728395062,0.7747553293720771,0.972743421718317,0.7718954248366013,238.15597319602966
