Model,AnnualCrop,Forest,HerbaceousVegetation,Highway,Industrial,Pasture,PermanentCrop,Residential,River,SeaLake,Overall_Acc
LR+PCA(200),0.4339051463168517,0.6251162790697674,0.42071197411003236,0.23567921440261866,0.7245989304812834,0.3065953654188948,0.22521008403361348,0.42782969885773625,0.4167832167832168,0.42450765864332607,0.44222222222222224
SVM-RBF+PCA(500),0.6427718040621266,0.8777895855472903,0.6036519871106337,0.4385026737967914,0.8494623655913979,0.7503828483920367,0.5329512893982807,0.6736401673640168,0.6227709190672154,0.8342989571263036,0.6871604938271605
LR+HOG,0.7711386696730552,0.9582417582417583,0.6163934426229508,0.6525198938992043,0.886426592797784,0.7781569965870307,0.5771812080536912,0.8224101479915434,0.7204301075268817,0.9719416386083053,0.78
SVM-RBF+HOG,0.8154696132596685,0.9633740288568258,0.7200878155872668,0.74293059125964,0.898186889818689,0.8046744574290484,0.6964769647696477,0.8724100327153763,0.7849462365591398,0.9730337078651685,0.8308641975308642
ShallowCNN (no reg),0.9498327759197325,0.9801762114537446,0.9234184239733628,0.9490616621983914,0.9635416666666666,0.96,0.9153439153439153,0.9854096520763188,0.9351351351351351,0.9832026875699889,0.9553086419753086
ShallowCNN (+BN),0.9510022271714923,0.9910714285714286,0.9640449438202248,0.9552631578947368,0.9711286089238845,0.9733333333333334,0.9388297872340426,0.9809203142536476,0.9530201342281879,0.9867549668874172,0.9671604938271605
ShallowCNN (+BN+Drop+L2+Aug+ES),0.9082672706681767,0.9654427645788336,0.8842105263157894,0.9230769230769231,0.9382716049382717,0.9081803005008346,0.8591160220994476,0.9532908704883226,0.893854748603352,0.983388704318937,0.9239506172839507
ResNet-18,0.9685393258426965,0.9933333333333333,0.9733333333333334,0.992,0.9866310160427807,0.9641693811074918,0.9531459170013387,0.993362831858407,0.9919786096256684,0.9988876529477196,0.9822222222222222
