Model,Accuracy,Macro_F1,ROC_AUC,CV_Acc,Best_C,Train_Time_sec
LR+PCA(50),0.4402469135802469,0.41427796370907394,0.8627079562106322,0.42923747276688456,0.01,132.66459274291992
LR+PCA(100),0.4382716049382716,0.4158802901758344,0.8622244012597632,0.4292374727668845,0.1,222.17336988449097
LR+PCA(200),0.4414814814814815,0.42442298208619045,0.8617311817082388,0.43010893246187365,0.01,420.80721139907837
LR+PCA(500),0.44222222222222224,0.43020660297953794,0.8582188385487528,0.42810457516339867,0.01,571.8339817523956
