A,B,A_mean,B_mean,diff,t_stat,p_value,significant_p<0.05
ShallowCNN (no reg),ShallowCNN (+ BN),0.9549794238683128,0.965679012345679,0.010699588477366184,-3.5096701065142164,0.07246909390832651,False
ShallowCNN (+ BN),ResNet-18 (fine-tuned),0.965679012345679,0.9816460905349794,0.015967078189300432,-9.388318018818842,0.01115601897464149,True
ShallowCNN (no reg),ResNet-18 (fine-tuned),0.9549794238683128,0.9816460905349794,0.026666666666666616,-19.609372058469255,0.002590493555530169,True
