Model,AnnualCrop,Forest,HerbaceousVegetation,Highway,Industrial,Pasture,PermanentCrop,Residential,River,SeaLake
LR+PCA(200),0.3974121996303142,0.5376,0.4088050314465409,0.3050847457627119,0.7265415549597856,0.32950191570881227,0.30454545454545456,0.4015594541910331,0.43823529411764706,0.41810344827586204
SVM-RBF+PCA(500),0.6950904392764858,0.8411405295315683,0.5841995841995842,0.43967828418230565,0.8563685636856369,0.6940509915014165,0.5758513931888545,0.6363636363636364,0.6412429378531074,0.8716707021791767
LR+HOG,0.782608695652174,0.9478260869565217,0.6064516129032258,0.6490765171503958,0.9221902017291066,0.7972027972027972,0.581081081081081,0.7842741935483871,0.7262872628726287,0.981859410430839
SVM-RBF+HOG,0.810989010989011,0.9623059866962306,0.7114967462039046,0.71712158808933,0.9415204678362573,0.8060200668896321,0.7079889807162535,0.8565310492505354,0.7913279132791328,0.9840909090909091
ShallowCNN (no reg),0.9530201342281879,0.9716157205240175,0.9223946784922394,0.954177897574124,0.9414758269720102,0.96,0.9081364829396326,0.9954648526077098,0.947945205479452,0.9909706546275395
ShallowCNN (+BN),0.953125,0.9955156950672646,0.975,0.9428571428571428,0.9560723514211886,0.9733333333333334,0.9363395225464191,0.9909297052154195,0.9594594594594594,0.9802631578947368
ShallowCNN (+BN+Drop+L2+Aug+ES),0.9260969976905312,0.9390756302521008,0.84,0.9518413597733711,0.9661016949152542,0.9096989966555183,0.8911174785100286,0.9126016260162602,0.9384164222873901,0.9801324503311258
ResNet-18,0.9795454545454545,0.9933333333333333,0.9733333333333334,0.992,0.9892761394101877,0.9426751592356688,0.956989247311828,0.9889867841409692,0.9946380697050938,1.0
